Change from previous experiment: Decrease learning rate to 0.0001 (0.1 of original), increase max-iter to 50
Result: Doesn't converge.

################################################################################

Starting compiling...
Ending compiling...
Compiling time: 43.64
Starting training...
Average cost in epoch 10: 3.366561
cost at epoch 11, iteration 0: 3.348463
cost at epoch 11, iteration 20: 3.349276
Average cost in epoch 11: 3.366150
cost at epoch 12, iteration 0: 3.352361
cost at epoch 12, iteration 20: 3.343655
Average cost in epoch 12: 3.366129
cost at epoch 13, iteration 0: 3.358733
cost at epoch 13, iteration 20: 3.385773
Average cost in epoch 13: 3.368475
cost at epoch 14, iteration 0: 3.384941
cost at epoch 14, iteration 20: 3.369458
Average cost in epoch 14: 3.371007
cost at epoch 15, iteration 0: 3.389820
cost at epoch 15, iteration 20: 3.366805
Average cost in epoch 15: 3.365759
cost at epoch 16, iteration 0: 3.335247
cost at epoch 16, iteration 20: 3.334953
Average cost in epoch 16: 3.375646
cost at epoch 17, iteration 0: 3.351338
cost at epoch 17, iteration 20: 3.370976
Average cost in epoch 17: 3.366452
cost at epoch 18, iteration 0: 3.381468
cost at epoch 18, iteration 20: 3.375358
Average cost in epoch 18: 3.376349
cost at epoch 19, iteration 0: 3.348375
cost at epoch 19, iteration 20: 3.354792
Average cost in epoch 19: 3.373109
cost at epoch 20, iteration 0: 3.375897
cost at epoch 20, iteration 20: 3.354078
Average cost in epoch 20: 3.368155
cost at epoch 21, iteration 0: 3.347869
cost at epoch 21, iteration 20: 3.398588
Average cost in epoch 21: 3.370952
cost at epoch 22, iteration 0: 3.378004
cost at epoch 22, iteration 20: 3.399985
Average cost in epoch 22: 3.374838
cost at epoch 23, iteration 0: 3.363251
cost at epoch 23, iteration 20: 3.332785
Average cost in epoch 23: 3.372627
cost at epoch 24, iteration 0: 3.388921
cost at epoch 24, iteration 20: 3.420470
Average cost in epoch 24: 3.368291
cost at epoch 25, iteration 0: 3.393629
cost at epoch 25, iteration 20: 3.354956
Average cost in epoch 25: 3.368929
cost at epoch 26, iteration 0: 3.375283
cost at epoch 26, iteration 20: 3.404267
Average cost in epoch 26: 3.364202
cost at epoch 27, iteration 0: 3.307782
cost at epoch 27, iteration 20: 3.346084
Average cost in epoch 27: 3.372012
cost at epoch 28, iteration 0: 3.362184
cost at epoch 28, iteration 20: 3.348786
Average cost in epoch 28: 3.371343
cost at epoch 29, iteration 0: 3.368583
cost at epoch 29, iteration 20: 3.401026
Average cost in epoch 29: 3.365447
cost at epoch 30, iteration 0: 3.359047
cost at epoch 30, iteration 20: 3.354887
Average cost in epoch 30: 3.369156
cost at epoch 31, iteration 0: 3.411316
cost at epoch 31, iteration 20: 3.348924
Average cost in epoch 31: 3.370091
cost at epoch 32, iteration 0: 3.367970
cost at epoch 32, iteration 20: 3.348798
Average cost in epoch 32: 3.366578
cost at epoch 33, iteration 0: 3.361058
cost at epoch 33, iteration 20: 3.413518
Average cost in epoch 33: 3.372619
cost at epoch 34, iteration 0: 3.352000
cost at epoch 34, iteration 20: 3.378687
Average cost in epoch 34: 3.372159
cost at epoch 35, iteration 0: 3.404296
cost at epoch 35, iteration 20: 3.362636
Average cost in epoch 35: 3.369393
cost at epoch 36, iteration 0: 3.344367
cost at epoch 36, iteration 20: 3.360129
Average cost in epoch 36: 3.366353
cost at epoch 37, iteration 0: 3.336153
cost at epoch 37, iteration 20: 3.377211
Average cost in epoch 37: 3.375001
cost at epoch 38, iteration 0: 3.385079
cost at epoch 38, iteration 20: 3.367174
Average cost in epoch 38: 3.371816
cost at epoch 39, iteration 0: 3.373507
cost at epoch 39, iteration 20: 3.318342
Average cost in epoch 39: 3.369254
cost at epoch 40, iteration 0: 3.391951
cost at epoch 40, iteration 20: 3.382235
Average cost in epoch 40: 3.376162
cost at epoch 41, iteration 0: 3.335517
cost at epoch 41, iteration 20: 3.367214
Average cost in epoch 41: 3.371743
cost at epoch 42, iteration 0: 3.392441
cost at epoch 42, iteration 20: 3.363001
Average cost in epoch 42: 3.366927
cost at epoch 43, iteration 0: 3.372776
cost at epoch 43, iteration 20: 3.389124
Average cost in epoch 43: 3.370437
cost at epoch 44, iteration 0: 3.394273
cost at epoch 44, iteration 20: 3.388130
Average cost in epoch 44: 3.368915
cost at epoch 45, iteration 0: 3.369630
cost at epoch 45, iteration 20: 3.433426
Average cost in epoch 45: 3.375609
cost at epoch 46, iteration 0: 3.388205
cost at epoch 46, iteration 20: 3.358849
Average cost in epoch 46: 3.369219
cost at epoch 47, iteration 0: 3.348771
cost at epoch 47, iteration 20: 3.355366
Average cost in epoch 47: 3.366793
cost at epoch 48, iteration 0: 3.431394
cost at epoch 48, iteration 20: 3.346579
Average cost in epoch 48: 3.366809
cost at epoch 49, iteration 0: 3.383307
cost at epoch 49, iteration 20: 3.373738
Average cost in epoch 49: 3.371844
